192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,149.5.244.45,6,TCP 192.168.0.2:54886 > 149.5.244.45:https A
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https S
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 SA
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https PA / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https PA / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https A / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55622 > 52.178.17.233:https PA / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55622 A / Padding
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.8,192.168.0.255,17,UDP 192.168.0.8:33385 > 192.168.0.255:15600 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
